sampleA,sampleB,logFC,logCPM,PValue,FDR
TRINITY_DN684726_c8_g1_i11,AZ1,AZ3,-4.62986082175756,4.82524279683299,2.66002437874058e-08,1.48582170244843e-05
TRINITY_DN57437_c0_g1_i1,AZ1,AZ3,4.47783300465699,5.66399112012364,2.72493180452737e-08,1.49036738883869e-05
TRINITY_DN676953_c0_g1_i1,AZ1,AZ3,4.20283898072488,6.96016760817354,3.56524608672939e-08,1.91017154112054e-05
TRINITY_DN697578_c2_g2_i4,AZ1,AZ3,4.45424900936672,5.5453442097047,3.87546725489593e-08,2.00103220788462e-05
TRINITY_DN697874_c2_g1_i2,AZ1,AZ3,-4.31447996565151,5.74342044035092,3.88727545812347e-08,2.00103220788462e-05
TRINITY_DN697587_c11_g3_i3,AZ1,AZ3,-4.34338945468549,5.42289594481379,4.39537851807535e-08,2.21907446605831e-05
TRINITY_DN696087_c13_g2_i1,AZ1,AZ3,-4.41830043490846,5.03539596420552,4.51262836551193e-08,2.23528363169405e-05
TRINITY_DN694469_c11_g1_i7,AZ1,AZ3,-4.51505701059142,4.71431980925135,5.45878166942312e-08,2.60771398358095e-05
TRINITY_DN698452_c14_g1_i8,AZ1,AZ3,-4.01648265723614,9.89500672693326,5.48322478802029e-08,2.60771398358095e-05
TRINITY_DN697359_c2_g1_i11,AZ1,AZ3,-4.25828626472874,5.78936162888652,5.59734818744488e-08,2.60771398358095e-05
TRINITY_DN694668_c1_g1_i12,AZ1,AZ3,-4.12262950941604,6.79929367000929,5.66181758519461e-08,2.60771398358095e-05
TRINITY_DN699385_c2_g1_i8,AZ1,AZ3,-4.17723885756324,6.01507818924663,6.00926810558015e-08,2.7200226823413e-05
TRINITY_DN697587_c11_g9_i1,AZ1,AZ3,-4.47905153680945,4.55454718082052,7.22877715800299e-08,3.21656079201784e-05
TRINITY_DN683202_c14_g1_i3,AZ1,AZ3,-4.44798606003342,4.76485968245482,7.4565685921292e-08,3.26262158748613e-05
TRINITY_DN692981_c7_g2_i8,AZ1,AZ3,-4.05387607947856,6.8598830450046,8.33101541282421e-08,3.58547783004711e-05
TRINITY_DN684686_c10_g5_i1,AZ1,AZ3,-4.45210105526012,4.52860120991441,8.61456320048946e-08,3.62562619043511e-05
TRINITY_DN689321_c5_g2_i9,AZ1,AZ3,-4.03573171342317,6.92083533229477,8.70050851321417e-08,3.62562619043511e-05
TRINITY_DN566660_c0_g1_i2,AZ1,AZ3,4.47835042137919,4.95405995995011,1.06568936756621e-07,4.35127531095891e-05
TRINITY_DN696639_c4_g4_i3,AZ1,AZ3,-4.41536559052633,4.49327532119121,1.07733552436799e-07,4.35127531095891e-05
TRINITY_DN687889_c0_g1_i3,AZ1,AZ3,4.1139191520714,5.98513888634857,1.13819712873199e-07,4.52743776069712e-05
TRINITY_DN697587_c11_g4_i1,AZ1,AZ3,-4.25935134345012,4.97044240860492,1.17965757401998e-07,4.62232093891738e-05
TRINITY_DN682242_c13_g5_i2,AZ1,AZ3,-3.98346027688501,6.60047885270131,1.25684327666682e-07,4.85233919740208e-05
TRINITY_DN696125_c1_g2_i9,AZ1,AZ3,-4.1637351432217,5.18412654523811,1.30889013237391e-07,4.98004241234961e-05
TRINITY_DN695884_c5_g1_i6,AZ1,AZ3,-4.14305839660618,5.23161059066813,1.4881154939701e-07,5.58107086617099e-05
TRINITY_DN690892_c11_g1_i2,AZ1,AZ3,-4.15563788844247,5.10599078540555,2.0881245758529e-07,7.72106119575579e-05
TRINITY_DN686901_c5_g1_i1,AZ1,AZ3,-4.07916159182774,5.3555199624572,2.23130142214807e-07,8.13588281050741e-05
TRINITY_DN688606_c15_g1_i1,AZ1,AZ3,-3.90180174300171,6.24630140997167,2.31038747447651e-07,8.30884963937423e-05
TRINITY_DN699805_c0_g1_i7,AZ1,AZ3,4.39514246677074,4.53281187137946,2.61665443913218e-07,9.28311202574826e-05
TRINITY_DN677765_c2_g1_i1,AZ1,AZ3,-3.86222346560244,6.50919257585152,2.66828024233589e-07,9.34004816027256e-05
TRINITY_DN697701_c3_g2_i3,AZ1,AZ3,-4.24787867927332,4.33284775909579,2.92144236178424e-07,0.000100916613584107
TRINITY_DN672648_c1_g1_i1,AZ1,AZ3,-4.234548415757,4.44513502401626,3.00520732648551e-07,0.000102461958366525
TRINITY_DN693879_c10_g2_i1,AZ1,AZ3,-4.20482980648468,4.63857851080044,3.12996654483536e-07,0.000104999065047015
TRINITY_DN699701_c3_g5_i1,AZ1,AZ3,-3.79488130251153,7.10530432596378,3.16982971180615e-07,0.000104999065047015
TRINITY_DN689179_c1_g2_i1,AZ1,AZ3,-3.96447351332697,5.3036404468511,3.19960583695623e-07,0.000104999065047015
TRINITY_DN674245_c0_g1_i1,AZ1,AZ3,-3.97532226319436,5.07259709657592,4.10600171374732e-07,0.000133080077766677
TRINITY_DN693429_c12_g1_i8,AZ1,AZ3,-3.83769246928908,6.00890949314469,4.41373555738845e-07,0.000141309511692828
TRINITY_DN688796_c20_g2_i2,AZ1,AZ3,4.27711915212063,4.42488701319539,5.33339284675027e-07,0.000168695858320162
TRINITY_DN687099_c12_g6_i1,AZ1,AZ3,-3.7994778622231,5.6187855791756,5.75195329140903e-07,0.000179769083046859
TRINITY_DN697800_c1_g2_i3,AZ1,AZ3,4.26058368256372,4.59180685491131,6.14684567536703e-07,0.000189850752371071
TRINITY_DN699173_c2_g1_i4,AZ1,AZ3,-3.80140791866037,5.40446109958321,6.75768834977108e-07,0.000206290223542489
TRINITY_DN604605_c0_g1_i1,AZ1,AZ3,-3.95979997262528,4.76831120423306,6.89138767225511e-07,0.00020795356386174
TRINITY_DN688070_c18_g1_i1,AZ1,AZ3,-4.05451482202943,4.59505066218001,7.07073455089891e-07,0.000210940902459942
TRINITY_DN698452_c14_g3_i1,AZ1,AZ3,-3.58581781923586,9.39678499282538,7.63471533616056e-07,0.00022520694575306
TRINITY_DN685552_c12_g1_i2,AZ1,AZ3,-3.68794888158496,6.04623444837833,8.33904860722792e-07,0.000243250047872838
TRINITY_DN412322_c0_g1_i1,AZ1,AZ3,-4.05836224660589,4.15272665985335,8.84112585148155e-07,0.000255061623053786
TRINITY_DN697788_c0_g1_i7,AZ1,AZ3,3.9984833460919,4.78975435923944,8.96931872506857e-07,0.000255947309227419
TRINITY_DN693253_c8_g2_i2,AZ1,AZ3,-4.01472531181202,4.45803718420795,9.17429127203156e-07,0.000258981364263059
TRINITY_DN691620_c14_g1_i2,AZ1,AZ3,-4.00988613071631,4.34684196026298,1.01858291669925e-06,0.000279456490404533
TRINITY_DN691669_c2_g1_i12,AZ1,AZ3,-3.89311599444182,4.62305451995228,1.02052187006337e-06,0.000279456490404533
TRINITY_DN695410_c19_g1_i1,AZ1,AZ3,-4.01553649422702,4.23714232419289,1.03254026470269e-06,0.000279456490404533
TRINITY_DN689405_c10_g1_i8,AZ1,AZ3,-4.01553649422702,4.23714232419289,1.03254026470269e-06,0.000279456490404533
TRINITY_DN692753_c0_g1_i6,AZ1,AZ3,4.14108479266379,4.30128656875623,1.14752104702297e-06,0.000304301717651455
TRINITY_DN695025_c10_g6_i1,AZ1,AZ3,-4.00422992936957,4.22646450257786,1.14752104702297e-06,0.000304301717651455
TRINITY_DN685351_c8_g1_i1,AZ1,AZ3,-3.73365794994689,5.1940144534659,1.28334876044162e-06,0.000333125213340747
TRINITY_DN685826_c11_g1_i3,AZ1,AZ3,-3.69901699329379,5.44232516513908,1.2890441953807e-06,0.000333125213340747
TRINITY_DN700649_c7_g3_i3,AZ1,AZ3,-3.96748162804738,4.30681617713057,1.30482461867297e-06,0.000333125213340747
TRINITY_DN693943_c1_g1_i1,AZ1,AZ3,-3.62036983808927,6.06453666291572,1.31901610665176e-06,0.000333125213340747
TRINITY_DN682297_c0_g1_i1,AZ1,AZ3,-3.72773551540131,5.18848693846983,1.31965955081087e-06,0.000333125213340747
TRINITY_DN686233_c8_g1_i1,AZ1,AZ3,-3.82862906442525,4.64491761183968,1.49132237507485e-06,0.000371929336475472
TRINITY_DN685075_c9_g1_i1,AZ1,AZ3,-3.58376412791384,6.15641018705936,1.51560330720569e-06,0.000371929336475472
TRINITY_DN690152_c1_g1_i6,AZ1,AZ3,-3.69720253973784,5.05293866265193,1.51588157554853e-06,0.000371929336475472
TRINITY_DN702461_c0_g1_i1,AZ1,AZ3,4.00520710194545,4.5203899087111,1.68591789930699e-06,0.000409818542689875
TRINITY_DN696567_c9_g1_i3,AZ1,AZ3,-3.73374275124064,5.0303522577192,1.71436262083801e-06,0.000411018245035816
TRINITY_DN699701_c3_g8_i1,AZ1,AZ3,-3.49192116948582,7.14385111186741,1.72216535077667e-06,0.000411018245035816
TRINITY_DN688228_c17_g5_i1,AZ1,AZ3,3.55134535402878,6.35690135720333,1.78378407799729e-06,0.000421889039636603
TRINITY_DN693257_c2_g3_i1,AZ1,AZ3,-3.72336824383071,4.76889812518989,1.80568248661402e-06,0.000423255199295339
TRINITY_DN689820_c10_g7_i1,AZ1,AZ3,-3.66713428309484,5.13202755325687,1.85581506518696e-06,0.000431156751383656
TRINITY_DN683409_c9_g3_i1,AZ1,AZ3,-3.48993084975501,6.79359615375151,1.87863483230458e-06,0.000432629826776246
TRINITY_DN694185_c15_g1_i1,AZ1,AZ3,-3.78506576701789,4.60412291605183,1.90262068096579e-06,0.000434343484673
TRINITY_DN691669_c2_g1_i7,AZ1,AZ3,3.47177698238988,6.91339478625636,2.22382460227584e-06,0.000503293683478859
TRINITY_DN694095_c13_g7_i4,AZ1,AZ3,-3.6850915184175,4.86457274338854,2.26880560790275e-06,0.000509085073711716
TRINITY_DN697127_c2_g3_i7,AZ1,AZ3,-3.62871702098519,5.19603782095257,2.40653231805888e-06,0.000535412652084744
TRINITY_DN681532_c10_g4_i2,AZ1,AZ3,-3.8675857660251,3.97317577315307,2.70592615811085e-06,0.0005969636926797
TRINITY_DN680524_c10_g2_i13,AZ1,AZ3,-3.84013082603655,3.94749981517276,3.06706512860322e-06,0.000670997173510169
TRINITY_DN696837_c1_g3_i1,AZ1,AZ3,3.64932710203562,5.07616380936637,3.5781466467161e-06,0.000776339536497833
TRINITY_DN687614_c11_g1_i3,AZ1,AZ3,-3.51541724035781,5.22897931444303,3.65721253346004e-06,0.000786990169187921
TRINITY_DN687720_c10_g4_i1,AZ1,AZ3,-3.81214325743661,3.92137101066797,3.71206799911153e-06,0.00079230017220061
TRINITY_DN698186_c6_g1_i5,AZ1,AZ3,-3.78360198458389,3.89477342701473,4.22432888648468e-06,0.000894365373039373
TRINITY_DN684827_c6_g1_i4,AZ1,AZ3,-3.75722151998797,3.99486845766759,4.4763939552777e-06,0.000932688654824647
TRINITY_DN693642_c1_g1_i1,AZ1,AZ3,-3.75722151998797,3.99486845766759,4.4763939552777e-06,0.000932688654824647
TRINITY_DN666907_c2_g1_i1,AZ1,AZ3,-3.63718406694927,4.38403166800619,4.53243616519925e-06,0.000936929501141543
TRINITY_DN697587_c11_g1_i1,AZ1,AZ3,-3.50627721010554,4.93056379279494,4.64304102067722e-06,0.000952294968092492
TRINITY_DN697358_c4_g3_i3,AZ1,AZ3,-3.45980602505027,5.26284494956407,5.22300795747435e-06,0.0010629428519967
TRINITY_DN683726_c3_g1_i1,AZ1,AZ3,-3.4425348354695,5.24698282242761,5.80364028705801e-06,0.00117202283427795
TRINITY_DN689236_c2_g1_i3,AZ1,AZ3,-3.26255713670516,7.35851815953062,6.08341827420217e-06,0.00121914488513458
TRINITY_DN699910_c8_g4_i1,AZ1,AZ3,-3.37021085971777,5.44432791485906,6.20053738290943e-06,0.00123060337834468
TRINITY_DN687923_c21_g1_i2,AZ1,AZ3,-3.69602820337076,4.05282611463259,6.27031011676553e-06,0.00123060337834468
TRINITY_DN684135_c8_g1_i1,AZ1,AZ3,-3.33141002779935,5.9003156085496,6.30611811579688e-06,0.00123060337834468
TRINITY_DN698452_c14_g1_i4,AZ1,AZ3,-3.22785533967301,8.51969036587802,6.3280941635825e-06,0.00123060337834468
