	AZ1	AZ2	AZ3
TRINITY_DN668781_c0_g1	1.986	115.655	12.588
TRINITY_DN698944_c1_g2	1.149	67.659	3.761
TRINITY_DN698789_c3_g7	3.849	173.424	20.017
TRINITY_DN688158_c1_g2	4.413	194.934	21.111
TRINITY_DN698471_c0_g1	1.163	61.335	10.128
TRINITY_DN697779_c3_g1	1.526	72.551	16.647
